group,xatc_total_m,nphot_total,data_mb,n_granules,n_lakes,n_lakes_depth,xatc_water,pct_xatc_water,depth_90pctl,elev_mean,qual_median,doy_mean,doy_str
total,54676961254.588,594031787526.0,106836775.19731903,42752,3559,2118,2117325.0,0.003872426249405609,5.698306162821893,133.56478140221043,1.071875875668085,21.121382410789547,Jan 21
2018-19,10826407439.405,114267018739.0,18045962.842689514,8434,1147,703,747960.0,0.006908662953858926,4.873081605173557,142.63860648685682,1.1466568428381634,11.0,Jan 11
2019-20,11209230185.145,113254185954.0,21217749.31884861,8701,1022,627,655090.0,0.005844201512322908,6.51212497367394,119.3689638852296,1.2074735807558352,30.0,Jan 30
2020-21,10770933719.708,122808659760.0,22513879.377692223,8484,460,240,225465.0,0.0020932725599031197,6.029893074993587,135.89892934203456,0.8383679670300328,20.0,Jan 20
2021-22,10987251355.905,125447339205.0,22960162.219294548,8629,569,348,296485.0,0.002698445592952206,5.093208608549432,172.17080614735318,1.1748598772527878,18.0,Jan 18
2022-23,10883138554.425,118254583868.0,22099021.438794136,8504,361,200,192325.0,0.001767183235224017,6.202127701798426,81.09916366802663,0.7119702841601575,29.0,Jan 29
East,22586268158.609,279952792934.0,58289502.453985214,22473,2947,1755,1787340.0,0.007913392276442693,5.551814846283085,148.80781420902832,1.1183416766425636,17.0,Jan 17
Peninsula,3888936194.433,60017800640.0,7333658.0983867645,2184,530,319,282185.0,0.007256097449064526,6.582306360985575,39.040831357704114,0.818436838089336,35.0,Feb 04
West,28201756901.546,254061193952.0,41213614.64494705,18095,82,44,47800.0,0.00016949298643652812,4.599640372259613,196.6925355716737,1.1487064832594152,2.0,Jan 02
A-Ap,2620883154.004,39432326627.0,6783669.863443375,2664,256,118,187180.0,0.007141867416486676,5.301472264022019,56.49977513023915,0.7746079590125481,21.0,Jan 21
Ap-B,1044216440.88,20560244993.0,6235151.341128349,2427,93,49,25945.0,0.0024846381443807937,5.5126256091696835,163.1184556809717,1.3302051434378404,18.0,Jan 18
B-C,1365826900.367,15771372672.0,1742212.6486473083,669,1546,1031,1015275.0,0.07433409019306866,5.47617433943078,138.0142950838422,1.2774654746017566,19.0,Jan 19
C-Cp,1046720888.634,19167500319.0,5032300.94243145,1951,137,83,62140.0,0.005936635131175651,8.722828056004579,53.95047928669919,1.0817880698324944,26.0,Jan 26
Cp-D,1055364468.281,19017272698.0,4730737.11452961,1930,17,7,4495.0,0.0004259192094387592,2.4036261509524905,71.2438065208021,1.4110123740573042,7.0,Jan 07
D-Dp,768509045.062,13483535639.0,3212509.176574707,1371,0,0,0.0,0.0,,,,,none
Dp-E,2475905636.357,23013935929.0,3398781.9844436646,1139,235,112,119910.0,0.0048430763369654625,4.636934868328759,207.95434779898343,0.8614417231463765,11.0,Jan 11
E-Ep,4708554902.623,52881366685.0,10148677.068385124,3581,615,332,339330.0,0.007206669711145749,5.136648033999784,198.45606517566966,0.8476147695516465,12.0,Jan 12
Jpp-K,5144680334.852,45020893236.0,12375072.99279213,4778,28,7,13210.0,0.0002567700836631285,2.914979531328669,524.3217005211549,0.7864705386843797,9.0,Jan 09
K-A,2355606387.549,31604344136.0,4630389.321609497,1963,20,16,19855.0,0.0008428827543068032,5.250489336149776,66.47248295965619,1.571179755176546,28.0,Jan 28
Hp-I,2034048762.611,25254778121.0,2877526.707083702,1024,414,259,247485.0,0.012167112438460753,6.804356449816291,29.423910588999192,0.8146524614843568,35.0,Feb 04
I-Ipp,1117448041.731,23698011148.0,2849028.4781389236,753,111,59,33875.0,0.003031460858576065,5.620089309385807,57.32624107865387,0.912531499300167,13.0,Jan 13
Ipp-J,737439390.091,11065011371.0,1607102.9131641388,407,5,1,825.0,0.00011187360087968655,1.2529346996967916,429.3857752013866,0.3061323916044383,40.0,Feb 09
Ep-F,14261235913.509,120441223153.0,17527354.85046673,7568,40,16,31585.0,0.0002214744934559354,4.02498501282249,226.54033481407228,0.6454571270566649,16.5,Jan 16
F-G,1486609545.058,24234524181.0,4214584.109734535,2232,2,1,485.0,3.2624571906746215e-05,1.7248998752724949,361.33740399168016,0.0688498806969579,1.0,Jan 01
G-H,2182097915.628,22119992215.0,3254594.95767498,1764,32,23,12955.0,0.0005936947149446131,4.982743945217695,61.57878448557566,1.7332578159321768,1.0,Jan 01
H-Hp,1110785479.331,16623434506.0,2963393.9804210663,1564,0,0,0.0,0.0,,,,,none
J-Jpp,9161028048.02,70642019897.0,13253686.746649742,4967,8,4,2775.0,3.0291360155804446e-05,1.7533320891924251,546.7473265990712,0.5782937681065603,8.0,Jan 08
