,category,region / time span,percent depths,mean of top $10\%$ depths (m),mean elevation (m),mean day
0,,total,$0.0039$,$5.7$,$134$,Jan 21
1,melt season,2018-19,$0.0069$,$4.9$,$143$,Jan 11
2,melt season,2019-20,$0.0058$,$6.5$,$119$,Jan 30
3,melt season,2020-21,$0.0021$,$6.0$,$136$,Jan 20
4,melt season,2021-22,$0.0027$,$5.1$,$172$,Jan 18
5,melt season,2022-23,$0.0018$,$6.2$,$81$,Jan 29
6,region,East,$0.0079$,$5.6$,$149$,Jan 17
7,region,Peninsula,$0.0073$,$6.6$,$39$,Feb 04
8,region,West,$0.0002$,$4.6$,$197$,Jan 02
9,drainage basin,A-Ap,$0.0071$,$5.3$,$56$,Jan 21
10,drainage basin,Ap-B,$0.0025$,$5.5$,$163$,Jan 18
11,drainage basin,B-C,$0.0743$,$5.5$,$138$,Jan 19
12,drainage basin,C-Cp,$0.0059$,$8.7$,$54$,Jan 26
13,drainage basin,Cp-D,$0.0004$,$2.4$,$71$,Jan 07
14,drainage basin,D-Dp,$0.0000$,---,---,---
15,drainage basin,Dp-E,$0.0048$,$4.6$,$208$,Jan 11
16,drainage basin,E-Ep,$0.0072$,$5.1$,$198$,Jan 12
17,drainage basin,Jpp-K,$0.0003$,$2.9$,$524$,Jan 09
18,drainage basin,K-A,$0.0008$,$5.3$,$66$,Jan 28
19,drainage basin,Hp-I,$0.0122$,$6.8$,$29$,Feb 04
20,drainage basin,I-Ipp,$0.0030$,$5.6$,$57$,Jan 13
21,drainage basin,Ipp-J,$0.0001$,$1.3$,$429$,Feb 09
22,drainage basin,Ep-F,$0.0002$,$4.0$,$227$,Jan 16
23,drainage basin,F-G,$0.0000$,$1.7$,$361$,Jan 01
24,drainage basin,G-H,$0.0006$,$5.0$,$62$,Jan 01
25,drainage basin,H-Hp,$0.0000$,---,---,---
26,drainage basin,J-Jpp,$0.0000$,$1.8$,$547$,Jan 08
